Sample_ID,Plot,DateWeighed,DateFiltered,DateDelivered ,FalcoStandingTubeWeight wOutLid.g,WetSampleWeigh.g,DrySample Weigh.g ,Moisture.perc,MoistureDec.,DM.perc,DMDec,Study,Year,Location,SiteYear,Block,TrtNo,Trt,Residue,Herbicide,CovCropStg,CovCrop,CovStgResII,CovStgRes,CovStgResIV,CovStgResIII,Assay,AppTiming,TestHerb.ppm,perc.Recovery,ppmAdjustedto15gdry,Background.ppm,AdjTest-Back.ppm,StdHerb.ppm,Ratio,pyroxasulfone.mgL,DepWashSum.ppm,RyeBio,VetchBio,CloverBio
3EUTC2,UTC,12/12/23,12/13/23,12/13/23,10.616,17.681,17.584,0.551637853,0.005516379,99.44836215,0.994483621,Petris,2023,DE,DE23,na,UTC,No,control,pyroxasulfone,control,control,control,control,control,control,control,control,0,0,0,0,0,na,na,0,na,na,na,na
3EUTC1,UTC,12/12/23,12/13/23,12/13/23,10.428,15.898,15.772,0.798884098,0.007988841,99.2011159,0.992011159,Petris,2023,DE,DE23,na,UTC,No,control,pyroxasulfone,control,control,control,control,control,control,control,control,0,0,0,0,0,na,na,0,na,na,na,na
3EAST4,STD,12/12/23,12/13/23,12/13/23,10.668,15.541,15.432,0.70632452,0.007063245,99.29367548,0.992936755,Petris,2023,DE,DE23,na,STD,No,control,pyroxasulfone,flagleaf,control,control,control,control,control,control,0 DAT,0,0,0,0,0,0.491224275,0,0,na,na,na,na
3EAST3,STD,12/12/23,12/13/23,12/13/23,10.63,16.686,16.57,0.70006035,0.007000604,99.29993965,0.992999396,Petris,2023,DE,DE23,na,STD,No,control,pyroxasulfone,flagleaf,control,control,control,control,control,control,0 DAT,0,0,0,0,0,0.491224275,0,0,na,na,na,na
3EAST1,STD,12/12/23,12/13/23,12/13/23,10.453,16.094,15.947,0.921803474,0.009218035,99.07819653,0.990781965,Petris,2023,DE,DE23,na,STD,No,control,pyroxasulfone,flagleaf,control,control,control,control,control,control,0 DAT,0,0,0,0,0,0.491224275,0,0,na,na,na,na
2VUTC2,UTC,45381,na,na,12.943,15.412,15.355,0.371214588,0.003712146,99.62878541,0.996287854,Petris,2022,VA,VA22,na,UTC,no,control,pyroxasulfone,control,control,control,control,control,control,control,control,0.003,0.003011178,0.002930641,0.00273538,0.000195261,na,na,0.003,na,na,na,na
3PUTC1,UTC,45132,45133,45133,10.75,16.04,15.95,0.564263323,0.005642633,99.43573668,0.994357367,Petris,2023,PA,PA23,na,UTC,no,control,pyroxasulfone,control,control,control,control,control,control,control,control,0.0016,0.001609079,0.001504702,0.0012156,0.000289102,na,na,0.0016,na,na,na,na
2PUTC 1,UTC,45606,45607,45612,12.842,16.183,16.176,0.043273986,0.00043274,99.95672601,0.99956726,Petri,2022,PA,PA22,na,UTC,no,control,pyroxasulfone,control,control,control,control,control,control,control,control,0.002,0.002000866,0.001854599,0.00136502,0.000489579,na,na,0.002,na,na,na,na
2PUTC 2,UTC,45606,45607,45612,12.941,15.982,16.007,-0.156181671,-0.001561817,100.1561817,1.001561817,Petri,2022,PA,PA22,na,UTC,no,control,pyroxasulfone,control,control,control,control,control,control,control,control,0.002,0.001996881,0.00187418,0.00136502,0.00050916,na,na,0.002,na,na,na,na
2EUTC4,UTC,45380,na,na,12.899,17.009,16.959,0.294828705,0.002948287,99.7051713,0.997051713,Petris,2022,DE,DE22,na,UTC,no,control,pyroxasulfone,control,control,control,control,control,control,control,control,0.0057,0.005716855,0.005041571,0.004081526,0.000960045,na,na,0.0057,na,na,na,na
2VUTC1,UTC,45381,na,na,12.874,15.32,15.364,-0.286383754,-0.002863838,100.2863838,1.002863838,Petris,2022,VA,VA22,na,UTC,no,control,pyroxasulfone,control,control,control,control,control,control,control,control,0.0038,0.003789148,0.003709971,0.00273538,0.000974591,na,na,0.0038,na,na,na,na
2EUTC1,UTC,45380,na,na,12.961,15.261,15.177,0.553469065,0.005534691,99.44653093,0.994465309,Petris,2022,DE,DE22,na,UTC,no,control,pyroxasulfone,control,control,control,control,control,control,control,control,0.0057,0.005731723,0.005633524,0.004081526,0.001551999,na,na,0.0057,na,na,na,na
3VUTC4,UTC,45183,45187,45187,10.46,13.48,13.34,1.049475262,0.010494753,98.95052474,0.989505247,Petris,2023,VA,VA23,na,UTC,No,control,pyroxasulfone,control,control,control,control,control,control,Control,control,0.0223,0.022536515,0.025074963,0.006672747,0.018402216,na,na,0.0223,na,na,na,na
3ECST1,STD,45132,45140,45140,10.61,15.92,15.92,0,0,100,1,Petris,2023,DE,DE23,na,STD,no,control,pyroxasulfone,anthesis,control,control,control,control,control,control,0 DAT,0.1004,0.1004,0.09459799,0,0.09459799,0.532754972,0.177563786,0.1004,na,na,na,na
2EBST4,STD,45380,na,na,12.937,17.669,17.571,0.557737181,0.005577372,99.44226282,0.994422628,Petris,2022,DE,DE22,na,STD,no,control,pyroxasulfone,mid-heading,control,control,control,control,control,control,0 DAT,0.1329,0.13364539,0.113453987,0.004081526,0.109372461,0.19339124,0.565550234,0.1329,na,na,na,na
2VDST4,STD,45593,na,na,12.957,17.054,16.751,1.808847233,0.018088472,98.19115277,0.981911528,Petris,2022,VA,VA22,na,STD,no,control,pyroxasulfone,EPOST,control,control,control,control,control,control,21 DAT,0.1699,0.173029846,0.152140171,0.00273538,0.149404791,0.195861906,0.762806786,0.1699,na,na,na,na
2EAST1,STD,45603,na,na,12.961,17.786,17.697,0.502910098,0.005029101,99.4970899,0.994970899,Petris,2022,DE,DE22,na,STD,no,control,pyroxasulfone,flagleaf,control,control,control,control,control,control,0 DAT,0.1865,0.187442668,0.15807764,0.004081526,0.153996115,0.2357977,0.653085738,0.1865,na,na,na,na
2VDST1,STD,45593,na,na,12.977,17.007,16.721,1.710424018,0.01710424,98.28957598,0.98289576,Petris,2022,VA,VA22,na,STD,no,control,pyroxasulfone,anthesis,control,control,control,control,control,control,21 DAT,0.1853,0.18852457,0.166228096,0.00273538,0.163492716,0.195861906,0.834734632,0.1853,na,na,na,na
3PDST4,STD,45105,45114,45114,10.46,16.01,16.04,-0.187032419,-0.001870324,100.1870324,1.001870324,Petris,2023,PA,PA23,na,STD,no,control,pyroxasulfone,EPOST,control,control,control,control,control,control,21 DAT,0.1817,0.181360797,0.169918953,0.0012156,0.168703353,0.275289491,0.612821624,0.1817,na,na,na,na
2EBST2,STD,45380,na,na,12.949,17.945,17.839,0.594203711,0.005942037,99.40579629,0.994057963,Petris,2022,DE,DE22,na,STD,no,control,pyroxasulfone,mid-heading,control,control,control,control,control,control,0 DAT,0.2324,0.233789184,0.195414541,0.004081526,0.191333016,0.19339124,0.989357201,0.2324,na,na,na,na
2VDST3,STD,45593,na,na,12.917,17.762,17.491,1.549368247,0.015493682,98.45063175,0.984506318,Petris,2022,VA,VA22,na,STD,no,control,pyroxasulfone,EPOST,control,control,control,control,control,control,21 DAT,0.2399,0.24367543,0.205734378,0.00273538,0.202998998,0.195861906,1.036439408,0.2399,na,na,na,na
2EAST4,STD,45610,na,na,12.914,17.898,17.804,0.527971242,0.005279712,99.47202876,0.994720288,Petris,2022,DE,DE22,na,STD,no,control,pyroxasulfone,flagleaf,control,control,control,control,control,control,0 DAT,0.2535,0.254845511,0.213575601,0.004081526,0.209494075,0.2357977,0.888448339,0.2535,na,na,na,na
2VCST2,STD,45596,na,na,12.845,15.688,15.339,2.275246105,0.022752461,97.7247539,0.977247539,Petris,2022,VA,VA22,na,STD,no,control,pyroxasulfone,anthesis,control,control,control,control,control,control,0 DAT,0.2223,0.22747563,0.217387053,0.00273538,0.214651672,0.220815081,0.972087916,0.2223,na,na,na,na
2EBST1,STD,45610,na,na,12.975,15.994,15.853,0.889421561,0.008894216,99.11057844,0.991105784,Petris,2022,DE,DE22,na,STD,no,control,pyroxasulfone,mid-heading,control,control,control,control,control,control,0 DAT,0.235,0.237108898,0.22235539,0.004081526,0.218273865,0.19339124,1.128664695,0.235,na,na,na,na
2VCST1,STD,45596,na,na,13.009,17.297,17.313,-0.092416104,-0.000924161,100.0924161,1.000924161,Petris,2022,VA,VA22,na,STD,no,control,pyroxasulfone,anthesis,control,control,control,control,control,control,0 DAT,0.2587,0.25846114,0.224137931,0.00273538,0.221402551,0.220815081,1.002660461,0.2587,na,na,na,na
2VCST3,STD,45596,na,na,12.896,15.618,15.522,0.618477,0.00618477,99.381523,0.99381523,Petris,2022,VA,VA22,na,STD,no,control,pyroxasulfone,anthesis,control,control,control,control,control,control,0 DAT,0.2371,0.238575535,0.229126401,0.00273538,0.226391021,0.220815081,1.025251627,0.2371,na,na,na,na
2ECST4,STD,45380,na,na,12.846,17.661,17.612,0.278219396,0.002782194,99.7217806,0.997217806,Petris,2022,DE,DE22,na,STD,no,control,pyroxasulfone,anthesis,control,control,control,control,control,control,0 DAT,0.2723,0.273059705,0.231915739,0.004081526,0.227834214,0.254971073,0.893568872,0.2723,na,na,na,na
2ECST2,STD,45605,na,na,12.976,17.745,17.662,0.469935455,0.004699355,99.53006455,0.995300645,Petris,2022,DE,DE22,na,STD,no,control,pyroxasulfone,anthesis,control,control,control,control,control,control,0 DAT,0.2734,0.27469087,0.23219341,0.004081526,0.228111884,0.254971073,0.894657897,0.2734,na,na,na,na
2PAST 2,STD,45589,45605,45605,12.944,15.687,15.684,0.019127774,0.000191278,99.98087223,0.999808722,Petri,2022,PA,PA22,na,STD,no,control,pyroxasulfone,flagleaf,control,control,control,control,control,control,0 DAT,0.246,0.246047063,0.235271614,0.00136502,0.233906594,0.397757982,0.588062602,0.246,na,na,na,na
2EDST2,STD,45610,na,na,12.938,18.655,18.55,0.566037736,0.005660377,99.43396226,0.994339623,Petris,2022,DE,DE22,na,STD,no,control,pyroxasulfone,EPOST,control,control,control,control,control,control,21 DAT,0.3054,0.30713852,0.246954178,0.004081526,0.242872652,0.313130202,0.775628318,0.3054,na,na,na,na
3VCST4,STD,45176,45183,45183,10.45,15.06,14.95,0.735785953,0.00735786,99.26421405,0.99264214,Petris,2023,VA,VA23,na,STD,No,control,pyroxasulfone,anthesis,control,control,control,control,control,Control,0 DAT,0.2495,0.251349394,0.250334448,0.006672747,0.243661701,0.294835493,0.826432729,0.2495,na,na,na,na
2EBST3,STD,45380,na,na,12.907,16.778,16.701,0.461050237,0.004610502,99.53894976,0.995389498,Petris,2022,DE,DE22,na,STD,no,control,pyroxasulfone,mid-heading,control,control,control,control,control,control,0 DAT,0.288,0.289333975,0.258667146,0.004081526,0.25458562,0.19339124,1.31642788,0.288,na,na,na,na
3PDST2,STD,45105,45114,45114,10.45,15.63,15.65,-0.127795527,-0.001277955,100.1277955,1.001277955,Petris,2023,PA,PA23,na,STD,no,control,pyroxasulfone,EPOST,control,control,control,control,control,control,21 DAT,0.2762,0.275847479,0.264728435,0.0012156,0.263512834,0.275289491,0.957220826,0.2762,na,na,na,na
2EAST2,STD,45381,na,na,12.911,15.009,14.927,0.549340122,0.005493401,99.45065988,0.994506599,Petris,2022,DE,DE22,na,STD,no,control,pyroxasulfone,flagleaf,control,control,control,control,control,control,0 DAT,0.2687,0.27018423,0.270014068,0.004081526,0.265932543,0.2357977,1.127799563,0.2687,na,na,na,na
3VCST3,STD,45176,45183,45183,10.66,15.37,15.14,1.519154557,0.015191546,98.48084544,0.984808454,Petris,2023,VA,VA23,na,STD,No,control,pyroxasulfone,anthesis,control,control,control,control,control,Control,0 DAT,0.2762,0.28046063,0.273645971,0.006672747,0.266973224,0.294835493,0.905498932,0.2762,na,na,na,na
2VDST2,STD,45593,na,na,12.971,17.806,17.487,1.824212272,0.018242123,98.17578773,0.981757877,Petris,2022,VA,VA22,na,STD,no,control,pyroxasulfone,EPOST,control,control,control,control,control,control,21 DAT,0.3151,0.320954899,0.270286499,0.00273538,0.267551118,0.195861906,1.366019169,0.3151,na,na,na,na
2PAST 1,STD,45589,45605,45605,12.957,15.502,15.481,0.135650152,0.001356502,99.86434985,0.998643498,Petri,2022,PA,PA22,na,STD,no,control,pyroxasulfone,flagleaf,control,control,control,control,control,control,0 DAT,0.285,0.285387128,0.276144952,0.00136502,0.274779932,0.397757982,0.690821918,0.285,na,na,na,na
2ECST1,STD,45605,na,na,12.867,17.741,17.651,0.509886125,0.005098861,99.49011387,0.994901139,Petris,2022,DE,DE22,na,STD,no,control,pyroxasulfone,anthesis,control,control,control,control,control,control,0 DAT,0.3318,0.333500473,0.281967027,0.004081526,0.277885502,0.254971073,1.089870701,0.3318,na,na,na,na
3PDST1,STD,45105,45114,45114,10.74,16.5,16.56,-0.362318841,-0.003623188,100.3623188,1.003623188,Petris,2023,PA,PA23,na,STD,no,control,pyroxasulfone,EPOST,control,control,control,control,control,control,21 DAT,0.3084,0.307286643,0.279347826,0.0012156,0.278132226,0.275289491,1.010326348,0.3084,na,na,na,na
2PDST 1,STD,45591,45603,45603,12.932,17.063,16.696,2.198131289,0.021981313,97.80186871,0.978018687,Petri,2022,PA,PA22,na,STD,no,control,pyroxasulfone,EPOST,control,control,control,control,control,control,21 DAT,0.319,0.326169637,0.286595592,0.00136502,0.285230572,0.386006861,0.738926172,0.319,na,na,na,na
2ECST3,STD,45610,na,na,12.907,17.291,17.211,0.464819011,0.00464819,99.53518099,0.99535181,Petris,2022,DE,DE22,na,STD,no,control,pyroxasulfone,anthesis,control,control,control,control,control,control,0 DAT,0.3329,0.334454609,0.290134216,0.004081526,0.286052691,0.254971073,1.121902527,0.3329,na,na,na,na
2PCST 1,STD,45586,45605,45605,12.939,16.101,16.109,-0.04966168,-0.000496617,100.0496617,1.000496617,Petri,2022,PA,PA22,na,STD,no,control,pyroxasulfone,anthesis,control,control,control,control,control,control,0 DAT,0.323,0.322839672,0.300763548,0.00136502,0.299398528,0.438690977,0.682481618,0.323,na,na,na,na
3EBST3,STD,45132,45140,45140,10.65,16.25,16.2,0.308641975,0.00308642,99.69135802,0.99691358,Petris,2023,DE,DE23,na,STD,no,control,pyroxasulfone,mid-heading,control,control,control,control,control,control,0 DAT,0.3308,0.331824149,0.306296296,0,0.306296296,0.34436547,0.889451245,0.3308,na,na,na,na
2EDST1,STD,45605,na,na,12.993,17.58,17.525,0.313837375,0.003138374,99.68616262,0.996861626,Petris,2022,DE,DE22,na,STD,no,control,pyroxasulfone,EPOST,control,control,control,control,control,control,21 DAT,0.3679,0.369058243,0.31489301,0.004081526,0.310811484,0.313130202,0.992595036,0.3679,na,na,na,na
2EAST3,STD,45610,na,na,13.003,16.666,16.555,0.670492298,0.006704923,99.3295077,0.993295077,Petris,2022,DE,DE22,na,STD,no,control,pyroxasulfone,flagleaf,control,control,control,control,control,control,0 DAT,0.3508,0.353167964,0.317849592,0.004081526,0.313768067,0.2357977,1.330666359,0.3508,na,na,na,na
3VCST1,STD,45176,45183,45183,10.44,14.74,14.56,1.236263736,0.012362637,98.76373626,0.987637363,Petris,2023,VA,VA23,na,STD,No,control,pyroxasulfone,anthesis,control,control,control,control,control,Control,0 DAT,0.3133,0.317221697,0.322767857,0.006672747,0.31609511,0.294835493,1.072106709,0.3133,na,na,na,na
2PDST 2,STD,45591,45603,45603,12.933,18.89,18.465,2.301651774,0.023016518,97.69834823,0.976983482,Petri,2022,PA,PA22,na,STD,no,control,pyroxasulfone,EPOST,control,control,control,control,control,control,21 DAT,0.399,0.408399945,0.324126726,0.00136502,0.322761706,0.386006861,0.83615536,0.399,na,na,na,na
3EBST4,STD,45132,45140,45140,10.47,16.5,16.46,0.243013366,0.002430134,99.75698663,0.997569866,Petris,2023,DE,DE23,na,STD,no,control,pyroxasulfone,mid-heading,control,control,control,control,control,control,0 DAT,0.3587,0.359573812,0.326883354,0,0.326883354,0.34436547,0.94923383,0.3587,na,na,na,na
3PBST4,STD,45113,45114,45114,10.46,15.53,15.54,-0.064350064,-0.000643501,100.0643501,1.000643501,Petris,2023,PA,PA23,na,STD,no,control,pyroxasulfone,mid-heading,control,control,control,control,control,control,0 DAT,0.3408,0.340580836,0.328957529,0.0012156,0.327741929,0.394786132,0.830175891,0.3408,na,na,na,na
3VAST1,STD,45183,45187,45187,10.45,14.8,14.55,1.718213058,0.017182131,98.28178694,0.982817869,Petris,2023,VA,VA23,na,STD,No,control,pyroxasulfone,flagleaf,control,control,control,control,control,Control,0 DAT,0.3257,0.331394056,0.335773196,0.006672747,0.329100449,0.363089075,0.906390392,0.3257,na,na,na,na
3PBST3,STD,45113,45114,45114,10.5,16.07,16.1,-0.186335404,-0.001863354,100.1863354,1.001863354,Petris,2023,PA,PA23,na,STD,no,control,pyroxasulfone,mid-heading,control,control,control,control,control,control,0 DAT,0.3628,0.362125232,0.338012422,0.0012156,0.336796822,0.394786132,0.85311209,0.3628,na,na,na,na
3EBST2,STD,45132,45140,45140,10.68,16.09,16.04,0.311720698,0.003117207,99.6882793,0.996882793,Petris,2023,DE,DE23,na,STD,no,control,pyroxasulfone,mid-heading,control,control,control,control,control,control,0 DAT,0.3661,0.367244778,0.342362843,0,0.342362843,0.34436547,0.994184588,0.3661,na,na,na,na
2EDST4,STD,45380,na,na,12.968,19.462,19.38,0.423116615,0.004231166,99.57688338,0.995768834,Petris,2022,DE,DE22,na,STD,no,control,pyroxasulfone,EPOST,control,control,control,control,control,control,21 DAT,0.4516,0.453518914,0.349535604,0.004081526,0.345454078,0.313130202,1.103228228,0.4516,na,na,na,na
3VBST2,STD,45176,45183,45183,10.74,15.13,14.96,1.136363636,0.011363636,98.86363636,0.988636364,Petris,2023,VA,VA23,na,STD,No,control,pyroxasulfone,mid-heading,control,control,control,control,control,Control,0 DAT,0.3576,0.361710345,0.35855615,0.006672747,0.351883403,0.49540007,0.71030148,0.3576,na,na,na,na
3VCST2,STD,45183,45187,45187,10.56,14.04,13.84,1.445086705,0.014450867,98.55491329,0.985549133,Petris,2023,VA,VA23,na,STD,No,control,pyroxasulfone,anthesis,control,control,control,control,control,Control,0 DAT,0.3315,0.336360704,0.359284682,0.006672747,0.352611935,0.294835493,1.195961624,0.3315,na,na,na,na
2EDST3,STD,45610,na,na,12.859,15.179,15.119,0.396851644,0.003968516,99.60314836,0.996031484,Petris,2022,DE,DE22,na,STD,no,control,pyroxasulfone,EPOST,control,control,control,control,control,control,21 DAT,0.3603,0.361735553,0.357464118,0.004081526,0.353382592,0.313130202,1.128548411,0.3603,na,na,na,na
2PCST 3,STD,45586,45605,45605,12.932,15.677,15.706,-0.184642812,-0.001846428,100.1846428,1.001846428,Petri,2022,PA,PA22,na,STD,no,control,pyroxasulfone,anthesis,control,control,control,control,control,control,0 DAT,0.383,0.382294121,0.365783777,0.00136502,0.364418757,0.438690977,0.830695811,0.383,na,na,na,na
3VAST2,STD,45176,45183,45183,10.56,15.46,15.24,1.443569554,0.014435696,98.55643045,0.985564304,Petris,2023,VA,VA23,na,STD,No,control,pyroxasulfone,flagleaf,control,control,control,control,control,Control,0 DAT,0.39,0.395712383,0.383858268,0.006672747,0.377185521,0.363089075,1.038823658,0.39,na,na,na,na
2PDST 3,STD,45591,45603,45603,13.024,18.464,18.064,2.214348981,0.02214349,97.78565102,0.97785651,Petri,2022,PA,PA22,na,STD,no,control,pyroxasulfone,EPOST,control,control,control,control,control,control,21 DAT,0.456,0.466326087,0.378653676,0.00136502,0.377288656,0.386006861,0.977414378,0.456,na,na,na,na
3VAST4,STD,45176,45183,45183,10.56,14.96,14.74,1.492537313,0.014925373,98.50746269,0.985074627,Petris,2023,VA,VA23,na,STD,No,control,pyroxasulfone,flagleaf,control,control,control,control,control,Control,0 DAT,0.3829,0.388701515,0.389654003,0.006672747,0.382981256,0.363089075,1.054785953,0.3829,na,na,na,na
3PDST3,STD,45105,45114,45114,10.59,15.16,15.11,0.330906684,0.003309067,99.66909332,0.996690933,Petris,2023,PA,PA23,na,STD,no,control,pyroxasulfone,EPOST,control,control,control,control,control,control,21 DAT,0.3949,0.396211089,0.392025149,0.0012156,0.390809549,0.275289491,1.419631195,0.3949,na,na,na,na
3EBST1,STD,45132,45140,45140,10.75,15.68,15.63,0.319897633,0.003198976,99.68010237,0.996801024,Petris,2023,DE,DE23,na,STD,no,control,pyroxasulfone,mid-heading,control,control,control,control,control,control,0 DAT,0.4188,0.420144031,0.401919386,0,0.401919386,0.34436547,1.167130334,0.4188,na,na,na,na
2PBST 4,STD,45586,45605,45605,12.997,16.997,16.961,0.212251636,0.002122516,99.78774836,0.997877484,Petri,2022,PA,PA22,na,STD,no,control,pyroxasulfone,mid-heading,control,control,control,control,control,control,0 DAT,0.479,0.480018848,0.42361889,0.00136502,0.42225387,0.451419263,0.935391785,0.479,na,na,na,na
3PBST1,STD,45113,45114,45114,10.59,16.17,16.21,-0.246761258,-0.002467613,100.2467613,1.002467613,Petris,2023,PA,PA23,na,STD,no,control,pyroxasulfone,mid-heading,control,control,control,control,control,control,0 DAT,0.4699,0.468743323,0.434824183,0.0012156,0.433608583,0.394786132,1.09833793,0.4699,na,na,na,na
3PAST2,STD,45113,45114,45114,10.579,15.406,15.421,-0.097269957,-0.0009727,100.09727,1.0009727,Petris,2023,PA,PA23,na,STD,no,control,pyroxasulfone,flagleaf,control,control,control,control,control,control,0 DAT,0.4635,0.463049592,0.450846249,0.0012156,0.449630649,0.494433595,0.909385312,0.4635,na,na,na,na
2PBST 1,STD,45586,45603,45603,12.928,15.404,15.39,0.090968161,0.000909682,99.90903184,0.999090318,Petri,2022,PA,PA22,na,STD,no,control,pyroxasulfone,mid-heading,control,control,control,control,control,control,0 DAT,0.464,0.464422477,0.452241715,0.00136502,0.450876695,0.451419263,0.998798084,0.464,na,na,na,na
3PCST1,STD,45120,45140,45140,10.7,15.29,15.46,-1.099611902,-0.010996119,101.0996119,1.010996119,Petris,2023,PA,PA23,na,STD,no,control,pyroxasulfone,anthesis,control,control,control,control,control,control,0 DAT,0.4701,0.464986948,0.456112549,0.0012156,0.454896948,0.588595451,0.77285162,0.4701,na,na,na,na
