Sample_ID,Plot,DateWeighed,DateFiltered,DateDelivered ,FalcoStandingTubeWeight wOutLid.g,WetSample Weigh.g,Study,Year,Location,SiteYear,Block,TrtNo,Trt,Residue,Herbicide,CovCropStg,CovCrop,CovStgResII,CovStgRes,Assay,AppTiming,TestHerb.ppm,StdHerb.ppm,Ratio,Background.ppm,pyroxasulfone.mgL,DepWashSum.ppm,RyeBio,VetchBio,CloverBio,
2E312W,312,45605,na,na,12.96,17.208,Petris,2022,DE,DE22,B3,5,yes,rolled,pyroxasulfone,anthesis,clover/rye,rye-clover/anthesis/roll,SECCE-TRIPR (roll),washoff,0 DAT,0.0462,0.3,0.154,0.004,0.0462,0.2697,28.8,0,38,
2E407W,407,45380,na,na,12.943,15.765,Petris,2022,DE,DE22,B4,5,yes,rolled,pyroxasulfone,anthesis,clover/rye,rye-clover/anthesis/roll,SECCE-TRIPR (roll),washoff,0 DAT,0.044,0.3,0.146666667,0.004,0.044,0.2545,22.4,0,23.8,
2E107D,107,45381,na,na,12.928,15.075,Petris,2022,DE,DE22,B1,6,yes,rolled,pyroxasulfone,anthesis,vetch/rye,rye-vetch/anthesis/roll,SECCE-VICVI (roll),deposition,0 DAT,0.0843,0.3,0.281,0.004,0.0843,0.1206,29.4,15,0,
2E202D,202,45610,na,na,12.932,16.373,Petris,2022,DE,DE22,B2,6,yes,rolled,pyroxasulfone,anthesis,vetch/rye,rye-vetch/anthesis/roll,SECCE-VICVI (roll),deposition,0 DAT,0.1519,0.3,0.506333333,0.004,0.1519,0.1985,36.6,10.2,0,
2E304D,304,45381,na,na,12.883,15.019,Petris,2022,DE,DE22,B3,6,yes,rolled,pyroxasulfone,anthesis,vetch/rye,rye-vetch/anthesis/roll,SECCE-VICVI (roll),deposition,0 DAT,0.1177,0.3,0.392334651,0.004,0.1177,0.1976,52,55,0,
2E411D,411,45380,na,na,12.891,17.827,Petris,2022,DE,DE22,B4,6,yes,rolled,pyroxasulfone,anthesis,vetch/rye,rye-vetch/anthesis/roll,SECCE-VICVI (roll),deposition,0 DAT,0.1749,0.3,0.583,0.004,0.1749,0.2544,26.4,20.8,0,
2E107W,107,45380,na,na,12.923,17.672,Petris,2022,DE,DE22,B1,6,yes,rolled,pyroxasulfone,anthesis,vetch/rye,rye-vetch/anthesis/roll,SECCE-VICVI (roll),washoff,0 DAT,0.0363,0.3,0.121,0.004,0.0363,0.1206,29.4,15,0,
2E202W,202,45381,na,na,12.961,15.687,Petris,2022,DE,DE22,B2,6,yes,rolled,pyroxasulfone,anthesis,vetch/rye,rye-vetch/anthesis/roll,SECCE-VICVI (roll),washoff,0 DAT,0.0466,0.3,0.155333333,0.004,0.0466,0.1985,36.6,10.2,0,
2E304W,304,45610,na,na,12.973,17.169,Petris,2022,DE,DE22,B3,6,yes,rolled,pyroxasulfone,anthesis,vetch/rye,rye-vetch/anthesis/roll,SECCE-VICVI (roll),washoff,0 DAT,0.0799,0.3,0.266274314,0.004,0.0799,0.1976,52,55,0,
2E411W,411,45605,na,na,12.928,17.043,Petris,2022,DE,DE22,B4,6,yes,rolled,pyroxasulfone,anthesis,vetch/rye,rye-vetch/anthesis/roll,SECCE-VICVI (roll),washoff,0 DAT,0.0795,0.3,0.265,0.004,0.0795,0.2544,26.4,20.8,0,
2E111D,111,45610,na,na,12.911,17.973,Petris,2022,DE,DE22,B1,9,yes,standing,pyroxasulfone,anthesis,cereal rye,rye/anthesis/stand,SECCE (anthesis),deposition,21 DAT,0.2229,0.37,0.602432432,0.004,0.2229,0.2478,49.2,0,0,
2E207D,207,45380,na,na,13.012,18.026,Petris,2022,DE,DE22,B2,9,yes,standing,pyroxasulfone,anthesis,cereal rye,rye/anthesis/stand,SECCE (anthesis),deposition,21 DAT,0.4011,0.37,1.083928702,0.004,0.4011,0.2768,22.6,0,0,
2E307D,307,45603,na,na,12.974,16.844,Petris,2022,DE,DE22,B3,9,yes,standing,pyroxasulfone,anthesis,cereal rye,rye/anthesis/stand,SECCE (anthesis),deposition,21 DAT,0.0719,0.37,0.194324324,0.004,0.0719,0.0764,47,0,0,
2E404D,404,45610,na,na,12.929,18.882,Petris,2022,DE,DE22,B4,9,yes,standing,pyroxasulfone,anthesis,cereal rye,rye/anthesis/stand,SECCE (anthesis),deposition,21 DAT,0.2667,0.37,0.720810811,0.004,0.2667,0.2959,99,0,0,
2E111W,111,45603,na,na,13.005,16.267,Petris,2022,DE,DE22,B1,9,yes,standing,pyroxasulfone,anthesis,cereal rye,rye/anthesis/stand,SECCE (anthesis),washoff,21 DAT,0.0249,0.37,0.067297297,0.004,0.0249,0.2478,49.2,0,0,
2E207W,207,45603,na,na,12.99,16.494,Petris,2022,DE,DE22,B2,9,yes,standing,pyroxasulfone,anthesis,cereal rye,rye/anthesis/stand,SECCE (anthesis),washoff,21 DAT,0.0165,0.37,0.04463962,0.004,0.0165,0.2768,22.6,0,0,
2E307W,307,45610,na,na,12.98,18.493,Petris,2022,DE,DE22,B3,9,yes,standing,pyroxasulfone,anthesis,cereal rye,rye/anthesis/stand,SECCE (anthesis),washoff,21 DAT,0.0045,0.37,0.012162162,0.004,0.0045,0.0764,47,0,0,
2E404W,404,45603,na,na,12.976,16.593,Petris,2022,DE,DE22,B4,9,yes,standing,pyroxasulfone,anthesis,cereal rye,rye/anthesis/stand,SECCE (anthesis),washoff,21 DAT,0.0292,0.37,0.078918919,0.004,0.0292,0.2959,99,0,0,
2E103D,103,45605,na,na,12.902,16.424,Petris,2022,DE,DE22,B1,10,yes,rolled,pyroxasulfone,anthesis,cereal rye,rye/anthesis/roll,SECCE (roll),deposition,21 DAT,0.3696,0.37,0.998918919,0.004,0.3696,0.3837,37.8,0,0,
2E206D,206,45381,na,na,12.934,15.222,Petris,2022,DE,DE22,B2,10,yes,rolled,pyroxasulfone,anthesis,cereal rye,rye/anthesis/roll,SECCE (roll),deposition,21 DAT,0.2106,0.37,0.569159998,0.004,0.2106,0.4146,24.8,0,0,
2E310D,310,45381,na,na,13.026,15.006,Petris,2022,DE,DE22,B3,10,yes,rolled,pyroxasulfone,anthesis,cereal rye,rye/anthesis/roll,SECCE (roll),deposition,21 DAT,0.1935,0.37,0.522972973,0.004,0.1935,0.2053,25,0,0,
2E409D,409,45603,na,na,12.903,14.62,Petris,2022,DE,DE22,B4,10,yes,rolled,pyroxasulfone,anthesis,cereal rye,rye/anthesis/roll,SECCE (roll),deposition,21 DAT,0.0209,0.37,0.056486486,0.004,0.0209,0.0266,46.6,0,0,
2E103W,103,45603,na,na,12.967,17.092,Petris,2022,DE,DE22,B1,10,yes,rolled,pyroxasulfone,anthesis,cereal rye,rye/anthesis/roll,SECCE (roll),washoff,21 DAT,0.0141,0.37,0.038108108,0.004,0.0141,0.3837,37.8,0,0,
2E206W,206,45603,na,na,12.959,16.63,Petris,2022,DE,DE22,B2,10,yes,rolled,pyroxasulfone,anthesis,cereal rye,rye/anthesis/roll,SECCE (roll),washoff,21 DAT,0.0135,0.37,0.036504952,0.004,0.0135,0.4146,24.8,0,0,
2E310W,310,45603,na,na,12.871,16.528,Petris,2022,DE,DE22,B3,10,yes,rolled,pyroxasulfone,anthesis,cereal rye,rye/anthesis/roll,SECCE (roll),washoff,21 DAT,0.0118,0.37,0.031891892,0.004,0.0118,0.2053,25,0,0,
2E409W,409,45603,na,na,12.948,14.068,Petris,2022,DE,DE22,B4,10,yes,rolled,pyroxasulfone,anthesis,cereal rye,rye/anthesis/roll,SECCE (roll),washoff,21 DAT,0.0057,0.37,0.015405405,0.004,0.0057,0.0266,46.6,0,0,
2E105D,105,45610,na,na,12.909,16.856,Petris,2022,DE,DE22,B1,11,yes,rolled,pyroxasulfone,anthesis,clover/rye,rye-clover/anthesis/roll,SECCE-TRIPR (roll),deposition,21 DAT,0.2034,0.37,0.54972973,0.004,0.2034,0.2152,0,0,21.6,
2E210D,210,45381,na,na,12.98,16.464,Petris,2022,DE,DE22,B2,11,yes,rolled,pyroxasulfone,anthesis,clover/rye,rye-clover/anthesis/roll,SECCE-TRIPR (roll),deposition,21 DAT,0.1423,0.37,0.384696947,0.004,0.1423,0.1241,0,0,51,
2E311D,311,45610,na,na,12.922,16.499,Petris,2022,DE,DE22,B3,11,yes,rolled,pyroxasulfone,anthesis,clover/rye,rye-clover/anthesis/roll,SECCE-TRIPR (roll),deposition,21 DAT,0.2119,0.37,0.572702703,0.004,0.2119,0.2254,0,0,30.4,
2E408D,408,45603,na,na,13.01,16.264,Petris,2022,DE,DE22,B4,11,yes,rolled,pyroxasulfone,anthesis,clover/rye,rye-clover/anthesis/roll,SECCE-TRIPR (roll),deposition,21 DAT,0.0301,0.37,0.081351351,0.004,0.0301,0.0387,0,0,44.2,
2E105W,105,45603,na,na,12.939,16.467,Petris,2022,DE,DE22,B1,11,yes,rolled,pyroxasulfone,anthesis,clover/rye,rye-clover/anthesis/roll,SECCE-TRIPR (roll),washoff,21 DAT,0.0118,0.37,0.031891892,0.004,0.0118,0.2152,0,0,21.6,
2E210W,210,45603,na,na,12.964,14.814,Petris,2022,DE,DE22,B2,11,yes,rolled,pyroxasulfone,anthesis,clover/rye,rye-clover/anthesis/roll,SECCE-TRIPR (roll),washoff,21 DAT,0.0238,0.37,0.064374001,0.004,0.0238,0.1241,0,0,51,
2E311W,311,45603,na,na,12.948,14.894,Petris,2022,DE,DE22,B3,11,yes,rolled,pyroxasulfone,anthesis,clover/rye,rye-clover/anthesis/roll,SECCE-TRIPR (roll),washoff,21 DAT,0.0135,0.37,0.036486486,0.004,0.0135,0.2254,0,0,30.4,
2E408W,408,45603,na,na,12.923,16.889,Petris,2022,DE,DE22,B4,11,yes,rolled,pyroxasulfone,anthesis,clover/rye,rye-clover/anthesis/roll,SECCE-TRIPR (roll),washoff,21 DAT,0.0086,0.37,0.023243243,0.004,0.0086,0.0387,0,0,44.2,
2E108D,108,45380,na,na,12.947,15.388,Petris,2022,DE,DE22,B1,12,yes,rolled,pyroxasulfone,anthesis,vetch/rye,rye-vetch/anthesis/roll,SECCE-VICVI (roll),deposition,21 DAT,0.2282,0.37,0.616756757,0.004,0.2282,0.2636,0,34.4,0,
2E201D,201,45610,na,na,12.953,18.761,Petris,2022,DE,DE22,B2,12,yes,rolled,pyroxasulfone,anthesis,vetch/rye,rye-vetch/anthesis/roll,SECCE-VICVI (roll),deposition,21 DAT,0.1506,0.37,0.407027027,0.004,0.1506,0.1719,0,21.8,0,
2E303D,303,45610,na,na,12.924,17.03,Petris,2022,DE,DE22,B3,12,yes,rolled,pyroxasulfone,anthesis,vetch/rye,rye-vetch/anthesis/roll,SECCE-VICVI (roll),deposition,21 DAT,0.2052,0.37,0.554596901,0.004,0.2052,0.2289,0,41.8,0,
2E412D,412,45380,na,na,12.983,15.1,Petris,2022,DE,DE22,B4,12,yes,rolled,pyroxasulfone,anthesis,vetch/rye,rye-vetch/anthesis/roll,SECCE-VICVI (roll),deposition,21 DAT,0.0041,0.37,0.011081081,0.004,0.0041,0.009,0,31.2,0,
2E108W,108,45605,na,na,12.901,15.545,Petris,2022,DE,DE22,B1,12,yes,rolled,pyroxasulfone,anthesis,vetch/rye,rye-vetch/anthesis/roll,SECCE-VICVI (roll),washoff,21 DAT,0.0354,0.37,0.095675676,0.004,0.0354,0.2636,0,34.4,0,
2E201W,201,45603,na,na,12.925,15.255,Petris,2022,DE,DE22,B2,12,yes,rolled,pyroxasulfone,anthesis,vetch/rye,rye-vetch/anthesis/roll,SECCE-VICVI (roll),washoff,21 DAT,0.0213,0.37,0.057567568,0.004,0.0213,0.1719,0,21.8,0,
2E303W,303,45380,na,na,13.002,16.793,Petris,2022,DE,DE22,B3,12,yes,rolled,pyroxasulfone,anthesis,vetch/rye,rye-vetch/anthesis/roll,SECCE-VICVI (roll),washoff,21 DAT,0.0237,0.37,0.064045225,0.004,0.0237,0.2289,0,41.8,0,
2E412W,412,45603,na,na,12.881,17.788,Petris,2022,DE,DE22,B4,12,yes,rolled,pyroxasulfone,anthesis,vetch/rye,rye-vetch/anthesis/roll,SECCE-VICVI (roll),washoff,21 DAT,0.0049,0.37,0.013243243,0.004,0.0049,0.009,0,31.2,0,
2ECST1,STD,45605,na,na,12.867,17.741,Petris,2022,DE,DE22,na,STD,no,control,pyroxasulfone,anthesis,control,control,control,control,0 DAT,0.3318,0.3,1.106,0.004,0.3318,na,na,na,na,
2ECST2,STD,45605,na,na,12.976,17.745,Petris,2022,DE,DE22,na,STD,no,control,pyroxasulfone,anthesis,control,control,control,control,0 DAT,0.2734,0.3,0.911333333,0.004,0.2734,na,na,na,na,
2ECST3,STD,45610,na,na,12.907,17.291,Petris,2022,DE,DE22,na,STD,no,control,pyroxasulfone,anthesis,control,control,control,control,0 DAT,0.3329,0.3,1.109666667,0.004,0.3329,na,na,na,na,
2ECST4,STD,45380,na,na,12.846,17.661,Petris,2022,DE,DE22,na,STD,no,control,pyroxasulfone,anthesis,control,control,control,control,0 DAT,0.2723,0.3,0.907666667,0.004,0.2723,na,na,na,na,
2EUTC1,UTC,45380,na,na,12.961,15.261,Petris,2022,DE,DE22,na,UTC,no,control,pyroxasulfone,control,control,control,control,control,control,0.0057,na,#VALUE!,0.004,0.0057,na,na,na,na,
2EUTC2,UTC,45380,na,na,12.978,15.789,Petris,2022,DE,DE22,na,UTC,no,control,pyroxasulfone,control,control,control,control,control,control,0.0039,na,#VALUE!,0.004,0.0039,na,na,na,na,
2EUTC3,UTC,45380,na,na,12.951,15.612,Petris,2022,DE,DE22,na,UTC,no,control,pyroxasulfone,control,control,control,control,control,control,0.002,na,#VALUE!,0.004,0.002,na,na,na,na,
2EUTC4,UTC,45380,na,na,12.899,17.009,Petris,2022,DE,DE22,na,UTC,no,control,pyroxasulfone,control,control,control,control,control,control,0.0057,na,#VALUE!,0.004,0.0057,na,na,na,na,
2EDST1,STD,45605,na,na,12.993,17.58,Petris,2022,DE,DE22,na,STD,no,control,pyroxasulfone,EPOST,control,control,control,control,21 DAT,0.3679,0.37,0.994324324,0.004,0.3679,na,na,na,na,
2EDST2,STD,45610,na,na,12.938,18.655,Petris,2022,DE,DE22,na,STD,no,control,pyroxasulfone,EPOST,control,control,control,control,21 DAT,0.3054,0.37,0.825405405,0.004,0.3054,na,na,na,na,
2EDST3,STD,45610,na,na,12.859,15.179,Petris,2022,DE,DE22,na,STD,no,control,pyroxasulfone,EPOST,control,control,control,control,21 DAT,0.3603,0.37,0.973783784,0.004,0.3603,na,na,na,na,
2EDST4,STD,45380,na,na,12.968,19.462,Petris,2022,DE,DE22,na,STD,no,control,pyroxasulfone,EPOST,control,control,control,control,21 DAT,0.4516,0.37,1.220540541,0.004,0.4516,na,na,na,na,
2E109D,109,45603,na,na,13.054,18.078,Petris,2022,DE,DE22,B1,1,yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),deposition,0 DAT,0.1446,0.22,0.657272727,0.004,0.1446,0.1509,69,0,0,
2E204D,204,45380,na,na,12.949,14.211,Petris,2022,DE,DE22,B2,1,yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),deposition,0 DAT,0.2017,0.22,0.916678001,0.004,0.2017,0.4586,36.8,0,0,
2E302D,302,45603,na,na,12.952,15.358,Petris,2022,DE,DE22,B3,1,yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),deposition,0 DAT,0.1545,0.22,0.702407382,0.004,0.1545,0.3373,51,0,0,
2E405D,405,45603,na,na,13.054,16.795,Petris,2022,DE,DE22,B4,1,yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),deposition,0 DAT,0.274,0.22,1.245454545,0.004,0.274,0.2847,35.4,0,0,
2E109W,109,45603,na,na,12.868,14.189,Petris,2022,DE,DE22,B1,1,yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),washoff,0 DAT,0.0063,0.22,0.028636364,0.004,0.0063,0.1509,69,0,0,
2E204W,204,45603,na,na,12.919,16.756,Petris,2022,DE,DE22,B2,1,yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),washoff,0 DAT,0.0106,0.22,0.048039558,0.004,0.0106,0.4586,36.8,0,0,
2E302W,302,45603,na,na,12.922,14.749,Petris,2022,DE,DE22,B3,1,yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),washoff,0 DAT,0.0176,0.22,0.079913938,0.004,0.0176,0.3373,51,0,0,
2E405W,405,45603,na,na,12.946,16.252,Petris,2022,DE,DE22,B4,1,yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),washoff,0 DAT,0.0107,0.22,0.048636364,0.004,0.0107,0.2847,35.4,0,0,
2E110D,110,45380,na,na,12.86,15.425,Petris,2022,DE,DE22,B1,7,yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),deposition,21 DAT,0.2236,0.22,1.016363636,0.004,0.2236,0.2387,55.2,0,0,
2E203D,203,45610,na,na,12.875,18.984,Petris,2022,DE,DE22,B2,7,yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),deposition,21 DAT,0.3197,0.22,1.453031868,0.004,0.3197,0.2131,21.8,0,0,
2E301D,301,45380,na,na,12.993,17.809,Petris,2022,DE,DE22,B3,7,yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),deposition,21 DAT,0.2683,0.22,1.219603336,0.004,0.2683,0.1642,12.2,0,0,
2E406D,406,45380,na,na,12.984,16.433,Petris,2022,DE,DE22,B4,7,yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),deposition,21 DAT,0.5143,0.22,2.337727273,0.004,0.5143,0.5314,20.8,0,0,
2E110W,110,45603,na,na,12.929,15.129,Petris,2022,DE,DE22,B1,7,yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),washoff,21 DAT,0.0151,0.22,0.068636364,0.004,0.0151,0.2387,55.2,0,0,
2E203W,203,45603,na,na,12.94,15.849,Petris,2022,DE,DE22,B2,7,yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),washoff,21 DAT,0.0114,0.22,0.051818168,0.004,0.0114,0.2131,21.8,0,0,
2E301W,301,45380,na,na,12.978,16.983,Petris,2022,DE,DE22,B3,7,yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),washoff,21 DAT,0.0097,0.22,0.044037049,0.004,0.0097,0.1642,12.2,0,0,
2E406W,406,45603,na,na,12.993,15.068,Petris,2022,DE,DE22,B4,7,yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),washoff,21 DAT,0.0171,0.22,0.077727273,0.004,0.0171,0.5314,20.8,0,0,
2EAST1,STD,45603,na,na,12.961,17.786,Petris,2022,DE,DE22,na,STD,no,control,pyroxasulfone,flagleaf,control,control,control,control,0 DAT,0.1865,0.26,0.717307692,0.004,0.1865,na,na,na,na,
2EAST2,STD,45381,na,na,12.911,15.009,Petris,2022,DE,DE22,na,STD,no,control,pyroxasulfone,flagleaf,control,control,control,control,0 DAT,0.2687,0.26,1.033461538,0.004,0.2687,na,na,na,na,
2EAST3,STD,45610,na,na,13.003,16.666,Petris,2022,DE,DE22,na,STD,no,control,pyroxasulfone,flagleaf,control,control,control,control,0 DAT,0.3508,0.26,1.349230769,0.004,0.3508,na,na,na,na,
2EAST4,STD,45610,na,na,12.914,17.898,Petris,2022,DE,DE22,na,STD,no,control,pyroxasulfone,flagleaf,control,control,control,control,0 DAT,0.2535,0.26,0.975,0.004,0.2535,na,na,na,na,
2E101D,101,45605,na,na,13.011,17.88,Petris,2022,DE,DE22,B1,2,yes,standing,pyroxasulfone,mid-heading,cereal rye,rye/heading/stand,SECCE (heading),deposition,0 DAT,0.1376,0.26,0.529230769,0.004,0.1376,0.1506,26.4,0,0,
2E211D,211,45610,na,na,12.963,15.975,Petris,2022,DE,DE22,B2,2,yes,standing,pyroxasulfone,mid-heading,cereal rye,rye/heading/stand,SECCE (heading),deposition,0 DAT,0.1003,0.26,0.385620725,0.004,0.1003,0.5351,43,0,0,
2E306D,306,45610,na,na,12.963,15.882,Petris,2022,DE,DE22,B3,2,yes,standing,pyroxasulfone,mid-heading,cereal rye,rye/heading/stand,SECCE (heading),deposition,0 DAT,0.1327,0.26,0.510384615,0.004,0.1327,0.1641,58.8,0,0,
2E402D,402,45380,na,na,12.977,17.999,Petris,2022,DE,DE22,B4,2,yes,standing,pyroxasulfone,mid-heading,cereal rye,rye/heading/stand,SECCE (heading),deposition,0 DAT,0.1068,0.26,0.410769231,0.004,0.1068,0.123,37.4,0,0,
2E101W,101,45610,na,na,12.967,15.296,Petris,2022,DE,DE22,B1,2,yes,standing,pyroxasulfone,mid-heading,cereal rye,rye/heading/stand,SECCE (heading),washoff,0 DAT,0.013,0.26,0.05,0.004,0.013,0.1506,26.4,0,0,
